date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,6.0,2.0,23.0,-1.0,1.0,-1.0
2020-02-16,8.0,-2.0,30.0,8.0,1.0,-1.0
2020-02-17,6.0,2.0,48.0,-36.0,-59.0,11.0
2020-02-18,-3.0,2.0,16.0,-3.0,1.0,0.0
2020-02-19,-2.0,-2.0,6.0,-1.0,0.0,0.0
2020-02-20,3.0,-1.0,16.0,1.0,0.0,0.0
2020-02-21,0.0,1.0,14.0,0.0,3.0,0.0
2020-02-22,0.0,0.0,4.0,-5.0,3.0,0.0
2020-02-23,2.0,1.0,16.0,1.0,4.0,0.0
2020-02-24,3.0,2.0,15.0,1.0,2.0,0.0
2020-02-25,10.0,4.0,31.0,4.0,3.0,-1.0
2020-02-26,4.0,3.0,13.0,1.0,0.0,0.0
2020-02-27,5.0,3.0,20.0,4.0,1.0,-1.0
2020-02-28,-1.0,5.0,6.0,-2.0,2.0,0.0
2020-02-29,-5.0,3.0,-7.0,-13.0,2.0,1.0
2020-03-01,-4.0,4.0,1.0,-5.0,4.0,0.0
2020-03-02,-2.0,10.0,13.0,-6.0,0.0,1.0
2020-03-03,1.0,12.0,12.0,-3.0,-1.0,1.0
2020-03-04,-4.0,5.0,0.0,-4.0,-2.0,2.0
2020-03-05,-4.0,6.0,-8.0,-9.0,-4.0,2.0
2020-03-06,-9.0,6.0,-15.0,-17.0,-8.0,5.0
2020-03-07,-12.0,1.0,-19.0,-24.0,0.0,4.0
2020-03-08,-13.0,-4.0,-8.0,-18.0,-2.0,3.0
2020-03-09,-8.0,7.0,2.0,-22.0,-18.0,8.0
2020-03-10,-6.0,10.0,9.0,-24.0,-21.0,9.0
2020-03-11,-13.0,8.0,3.0,-30.0,-26.0,11.0
2020-03-12,-17.0,16.0,-4.0,-35.0,-32.0,14.0
2020-03-13,-26.0,17.0,-16.0,-40.0,-35.0,15.0
2020-03-14,-41.0,1.0,-54.0,-48.0,-13.0,11.0
2020-03-15,-42.0,-1.0,-35.0,-41.0,-15.0,10.0
2020-03-16,-32.0,32.0,-20.0,-52.0,-54.0,20.0
