Date,Year,Month,Day,Day_of_Week,Sensor_ID,Sensor_Name,Daily_Counts
5/15/2016,2016,May,15,Sunday,2,Bourke Street Mall (South),21320
5/16/2016,2016,May,16,Monday,2,Bourke Street Mall (South),21149
5/17/2016,2016,May,17,Tuesday,2,Bourke Street Mall (South),20677
5/18/2016,2016,May,18,Wednesday,2,Bourke Street Mall (South),23948
5/19/2016,2016,May,19,Thursday,2,Bourke Street Mall (South),23116
5/20/2016,2016,May,20,Friday,2,Bourke Street Mall (South),29324
5/21/2016,2016,May,21,Saturday,2,Bourke Street Mall (South),28945
5/22/2016,2016,May,22,Sunday,2,Bourke Street Mall (South),20558
5/23/2016,2016,May,23,Monday,2,Bourke Street Mall (South),19785
5/24/2016,2016,May,24,Tuesday,2,Bourke Street Mall (South),20633
5/25/2016,2016,May,25,Wednesday,2,Bourke Street Mall (South),20061
5/26/2016,2016,May,26,Thursday,2,Bourke Street Mall (South),20884
5/27/2016,2016,May,27,Friday,2,Bourke Street Mall (South),27640
5/28/2016,2016,May,28,Saturday,2,Bourke Street Mall (South),24939
5/29/2016,2016,May,29,Sunday,2,Bourke Street Mall (South),20264
5/30/2016,2016,May,30,Monday,2,Bourke Street Mall (South),20287
5/31/2016,2016,May,31,Tuesday,2,Bourke Street Mall (South),19930
6/1/2016,2016,June,1,Wednesday,2,Bourke Street Mall (South),20979
6/2/2016,2016,June,2,Thursday,2,Bourke Street Mall (South),22990
6/3/2016,2016,June,3,Friday,2,Bourke Street Mall (South),26620
6/4/2016,2016,June,4,Saturday,2,Bourke Street Mall (South),24336
6/5/2016,2016,June,5,Sunday,2,Bourke Street Mall (South),19159
6/6/2016,2016,June,6,Monday,2,Bourke Street Mall (South),21381
6/7/2016,2016,June,7,Tuesday,2,Bourke Street Mall (South),19898
6/8/2016,2016,June,8,Wednesday,2,Bourke Street Mall (South),20736
6/9/2016,2016,June,9,Thursday,2,Bourke Street Mall (South),23493
6/10/2016,2016,June,10,Friday,2,Bourke Street Mall (South),29024
6/11/2016,2016,June,11,Saturday,2,Bourke Street Mall (South),27621
6/12/2016,2016,June,12,Sunday,2,Bourke Street Mall (South),26162
6/13/2016,2016,June,13,Monday,2,Bourke Street Mall (South),20854
6/14/2016,2016,June,14,Tuesday,2,Bourke Street Mall (South),20981
6/15/2016,2016,June,15,Wednesday,2,Bourke Street Mall (South),22258
6/16/2016,2016,June,16,Thursday,2,Bourke Street Mall (South),21748
6/17/2016,2016,June,17,Friday,2,Bourke Street Mall (South),26400
6/18/2016,2016,June,18,Saturday,2,Bourke Street Mall (South),25326
6/19/2016,2016,June,19,Sunday,2,Bourke Street Mall (South),19171
6/20/2016,2016,June,20,Monday,2,Bourke Street Mall (South),19640
6/21/2016,2016,June,21,Tuesday,2,Bourke Street Mall (South),21211
6/22/2016,2016,June,22,Wednesday,2,Bourke Street Mall (South),22285
6/23/2016,2016,June,23,Thursday,2,Bourke Street Mall (South),23733
6/24/2016,2016,June,24,Friday,2,Bourke Street Mall (South),25628
6/25/2016,2016,June,25,Saturday,2,Bourke Street Mall (South),26485
6/26/2016,2016,June,26,Sunday,2,Bourke Street Mall (South),20277
6/27/2016,2016,June,27,Monday,2,Bourke Street Mall (South),24095
6/28/2016,2016,June,28,Tuesday,2,Bourke Street Mall (South),26471
6/29/2016,2016,June,29,Wednesday,2,Bourke Street Mall (South),29404
6/30/2016,2016,June,30,Thursday,2,Bourke Street Mall (South),25945
7/1/2016,2016,July,1,Friday,2,Bourke Street Mall (South),32493
7/2/2016,2016,July,2,Saturday,2,Bourke Street Mall (South),27329
7/3/2016,2016,July,3,Sunday,2,Bourke Street Mall (South),22759
7/4/2016,2016,July,4,Monday,2,Bourke Street Mall (South),24952
7/5/2016,2016,July,5,Tuesday,2,Bourke Street Mall (South),20572
7/6/2016,2016,July,6,Wednesday,2,Bourke Street Mall (South),25663
7/7/2016,2016,July,7,Thursday,2,Bourke Street Mall (South),28358
7/8/2016,2016,July,8,Friday,2,Bourke Street Mall (South),32220
7/9/2016,2016,July,9,Saturday,2,Bourke Street Mall (South),28169
7/10/2016,2016,July,10,Sunday,2,Bourke Street Mall (South),18516
7/11/2016,2016,July,11,Monday,2,Bourke Street Mall (South),22810
7/12/2016,2016,July,12,Tuesday,2,Bourke Street Mall (South),20740
7/13/2016,2016,July,13,Wednesday,2,Bourke Street Mall (South),21608
7/14/2016,2016,July,14,Thursday,2,Bourke Street Mall (South),25006
7/15/2016,2016,July,15,Friday,2,Bourke Street Mall (South),29430
7/16/2016,2016,July,16,Saturday,2,Bourke Street Mall (South),29241
7/17/2016,2016,July,17,Sunday,2,Bourke Street Mall (South),22725
7/18/2016,2016,July,18,Monday,2,Bourke Street Mall (South),22254
7/19/2016,2016,July,19,Tuesday,2,Bourke Street Mall (South),22049
7/20/2016,2016,July,20,Wednesday,2,Bourke Street Mall (South),23245
7/21/2016,2016,July,21,Thursday,2,Bourke Street Mall (South),24292
7/22/2016,2016,July,22,Friday,2,Bourke Street Mall (South),27237
7/23/2016,2016,July,23,Saturday,2,Bourke Street Mall (South),25634
7/24/2016,2016,July,24,Sunday,2,Bourke Street Mall (South),19675
7/25/2016,2016,July,25,Monday,2,Bourke Street Mall (South),20204
7/26/2016,2016,July,26,Tuesday,2,Bourke Street Mall (South),20548
7/27/2016,2016,July,27,Wednesday,2,Bourke Street Mall (South),21345
7/28/2016,2016,July,28,Thursday,2,Bourke Street Mall (South),23165
7/29/2016,2016,July,29,Friday,2,Bourke Street Mall (South),27745
7/30/2016,2016,July,30,Saturday,2,Bourke Street Mall (South),28138
7/31/2016,2016,July,31,Sunday,2,Bourke Street Mall (South),22408
8/1/2016,2016,August,1,Monday,2,Bourke Street Mall (South),18355
8/2/2016,2016,August,2,Tuesday,2,Bourke Street Mall (South),20450
8/3/2016,2016,August,3,Wednesday,2,Bourke Street Mall (South),20618
8/4/2016,2016,August,4,Thursday,2,Bourke Street Mall (South),24147
8/5/2016,2016,August,5,Friday,2,Bourke Street Mall (South),27200
8/6/2016,2016,August,6,Saturday,2,Bourke Street Mall (South),29606
8/7/2016,2016,August,7,Sunday,2,Bourke Street Mall (South),19252
8/8/2016,2016,August,8,Monday,2,Bourke Street Mall (South),20425
8/9/2016,2016,August,9,Tuesday,2,Bourke Street Mall (South),20862
8/10/2016,2016,August,10,Wednesday,2,Bourke Street Mall (South),21211
8/11/2016,2016,August,11,Thursday,2,Bourke Street Mall (South),23144
8/12/2016,2016,August,12,Friday,2,Bourke Street Mall (South),26328
8/13/2016,2016,August,13,Saturday,2,Bourke Street Mall (South),26385
8/14/2016,2016,August,14,Sunday,2,Bourke Street Mall (South),22100
8/15/2016,2016,August,15,Monday,2,Bourke Street Mall (South),21069
8/16/2016,2016,August,16,Tuesday,2,Bourke Street Mall (South),20741
8/17/2016,2016,August,17,Wednesday,2,Bourke Street Mall (South),21156
8/18/2016,2016,August,18,Thursday,2,Bourke Street Mall (South),24517
8/19/2016,2016,August,19,Friday,2,Bourke Street Mall (South),23165
8/20/2016,2016,August,20,Saturday,2,Bourke Street Mall (South),25759
8/21/2016,2016,August,21,Sunday,2,Bourke Street Mall (South),18007
8/22/2016,2016,August,22,Monday,2,Bourke Street Mall (South),17754
8/23/2016,2016,August,23,Tuesday,2,Bourke Street Mall (South),21181
8/24/2016,2016,August,24,Wednesday,2,Bourke Street Mall (South),20150
8/25/2016,2016,August,25,Thursday,2,Bourke Street Mall (South),22658
8/26/2016,2016,August,26,Friday,2,Bourke Street Mall (South),33976
8/27/2016,2016,August,27,Saturday,2,Bourke Street Mall (South),26850
8/28/2016,2016,August,28,Sunday,2,Bourke Street Mall (South),20474
8/29/2016,2016,August,29,Monday,2,Bourke Street Mall (South),21034
8/30/2016,2016,August,30,Tuesday,2,Bourke Street Mall (South),18679
8/31/2016,2016,August,31,Wednesday,2,Bourke Street Mall (South),25333
9/1/2016,2016,September,1,Thursday,2,Bourke Street Mall (South),22030
9/2/2016,2016,September,2,Friday,2,Bourke Street Mall (South),26914
9/3/2016,2016,September,3,Saturday,2,Bourke Street Mall (South),26040
9/4/2016,2016,September,4,Sunday,2,Bourke Street Mall (South),19365
9/5/2016,2016,September,5,Monday,2,Bourke Street Mall (South),19948
9/6/2016,2016,September,6,Tuesday,2,Bourke Street Mall (South),20016
9/7/2016,2016,September,7,Wednesday,2,Bourke Street Mall (South),22216
9/8/2016,2016,September,8,Thursday,2,Bourke Street Mall (South),23657
9/9/2016,2016,September,9,Friday,2,Bourke Street Mall (South),25811
9/10/2016,2016,September,10,Saturday,2,Bourke Street Mall (South),25500
9/11/2016,2016,September,11,Sunday,2,Bourke Street Mall (South),18851
9/12/2016,2016,September,12,Monday,2,Bourke Street Mall (South),19459
9/13/2016,2016,September,13,Tuesday,2,Bourke Street Mall (South),18554
9/14/2016,2016,September,14,Wednesday,2,Bourke Street Mall (South),21093
9/15/2016,2016,September,15,Thursday,2,Bourke Street Mall (South),21285
9/16/2016,2016,September,16,Friday,2,Bourke Street Mall (South),27962
9/17/2016,2016,September,17,Saturday,2,Bourke Street Mall (South),26386
9/18/2016,2016,September,18,Sunday,2,Bourke Street Mall (South),19586
9/19/2016,2016,September,19,Monday,2,Bourke Street Mall (South),24066
9/20/2016,2016,September,20,Tuesday,2,Bourke Street Mall (South),24766
9/21/2016,2016,September,21,Wednesday,2,Bourke Street Mall (South),23466
9/22/2016,2016,September,22,Thursday,2,Bourke Street Mall (South),25696
9/23/2016,2016,September,23,Friday,2,Bourke Street Mall (South),31922
9/24/2016,2016,September,24,Saturday,2,Bourke Street Mall (South),27584
9/25/2016,2016,September,25,Sunday,2,Bourke Street Mall (South),20930
9/26/2016,2016,September,26,Monday,2,Bourke Street Mall (South),24973
9/27/2016,2016,September,27,Tuesday,2,Bourke Street Mall (South),25355
9/28/2016,2016,September,28,Wednesday,2,Bourke Street Mall (South),30253
9/29/2016,2016,September,29,Thursday,2,Bourke Street Mall (South),31342
9/30/2016,2016,September,30,Friday,2,Bourke Street Mall (South),31415
10/1/2016,2016,October,1,Saturday,2,Bourke Street Mall (South),22596
10/2/2016,2016,October,2,Sunday,2,Bourke Street Mall (South),20219
10/3/2016,2016,October,3,Monday,2,Bourke Street Mall (South),22341
10/4/2016,2016,October,4,Tuesday,2,Bourke Street Mall (South),19774
10/5/2016,2016,October,5,Wednesday,2,Bourke Street Mall (South),24819
10/6/2016,2016,October,6,Thursday,2,Bourke Street Mall (South),26616
10/7/2016,2016,October,7,Friday,2,Bourke Street Mall (South),28227
10/8/2016,2016,October,8,Saturday,2,Bourke Street Mall (South),28926
10/9/2016,2016,October,9,Sunday,2,Bourke Street Mall (South),18502
10/10/2016,2016,October,10,Monday,2,Bourke Street Mall (South),21316
10/11/2016,2016,October,11,Tuesday,2,Bourke Street Mall (South),20979
10/12/2016,2016,October,12,Wednesday,2,Bourke Street Mall (South),21175
10/13/2016,2016,October,13,Thursday,2,Bourke Street Mall (South),26180
10/14/2016,2016,October,14,Friday,2,Bourke Street Mall (South),31022
10/15/2016,2016,October,15,Saturday,2,Bourke Street Mall (South),26817
10/16/2016,2016,October,16,Sunday,2,Bourke Street Mall (South),19429
10/17/2016,2016,October,17,Monday,2,Bourke Street Mall (South),22667
10/18/2016,2016,October,18,Tuesday,2,Bourke Street Mall (South),19753
10/19/2016,2016,October,19,Wednesday,2,Bourke Street Mall (South),22410
10/20/2016,2016,October,20,Thursday,2,Bourke Street Mall (South),25541
10/21/2016,2016,October,21,Friday,2,Bourke Street Mall (South),24497
10/22/2016,2016,October,22,Saturday,2,Bourke Street Mall (South),22637
10/23/2016,2016,October,23,Sunday,2,Bourke Street Mall (South),19625
10/24/2016,2016,October,24,Monday,2,Bourke Street Mall (South),24154
10/25/2016,2016,October,25,Tuesday,2,Bourke Street Mall (South),23636
10/26/2016,2016,October,26,Wednesday,2,Bourke Street Mall (South),23509
10/27/2016,2016,October,27,Thursday,2,Bourke Street Mall (South),27263
10/28/2016,2016,October,28,Friday,2,Bourke Street Mall (South),31784
10/29/2016,2016,October,29,Saturday,2,Bourke Street Mall (South),26133
10/30/2016,2016,October,30,Sunday,2,Bourke Street Mall (South),21177
10/31/2016,2016,October,31,Monday,2,Bourke Street Mall (South),35551
11/1/2016,2016,November,1,Tuesday,2,Bourke Street Mall (South),15264
11/2/2016,2016,November,2,Wednesday,2,Bourke Street Mall (South),25178
11/3/2016,2016,November,3,Thursday,2,Bourke Street Mall (South),25994
11/4/2016,2016,November,4,Friday,2,Bourke Street Mall (South),28955
11/5/2016,2016,November,5,Saturday,2,Bourke Street Mall (South),24003
11/6/2016,2016,November,6,Sunday,2,Bourke Street Mall (South),20162
11/7/2016,2016,November,7,Monday,2,Bourke Street Mall (South),22208
11/8/2016,2016,November,8,Tuesday,2,Bourke Street Mall (South),24741
11/9/2016,2016,November,9,Wednesday,2,Bourke Street Mall (South),25115
11/10/2016,2016,November,10,Thursday,2,Bourke Street Mall (South),28395
11/11/2016,2016,November,11,Friday,2,Bourke Street Mall (South),32946
11/12/2016,2016,November,12,Saturday,2,Bourke Street Mall (South),31450
11/13/2016,2016,November,13,Sunday,2,Bourke Street Mall (South),21544
11/14/2016,2016,November,14,Monday,2,Bourke Street Mall (South),23148
11/15/2016,2016,November,15,Tuesday,2,Bourke Street Mall (South),25306
11/16/2016,2016,November,16,Wednesday,2,Bourke Street Mall (South),27517
11/17/2016,2016,November,17,Thursday,2,Bourke Street Mall (South),29968
11/18/2016,2016,November,18,Friday,2,Bourke Street Mall (South),31087
11/19/2016,2016,November,19,Saturday,2,Bourke Street Mall (South),32051
11/20/2016,2016,November,20,Sunday,2,Bourke Street Mall (South),22999
11/21/2016,2016,November,21,Monday,2,Bourke Street Mall (South),22913
11/22/2016,2016,November,22,Tuesday,2,Bourke Street Mall (South),22779
11/23/2016,2016,November,23,Wednesday,2,Bourke Street Mall (South),25041
11/24/2016,2016,November,24,Thursday,2,Bourke Street Mall (South),29510
11/25/2016,2016,November,25,Friday,2,Bourke Street Mall (South),35453
11/26/2016,2016,November,26,Saturday,2,Bourke Street Mall (South),32914
11/27/2016,2016,November,27,Sunday,2,Bourke Street Mall (South),25899
11/28/2016,2016,November,28,Monday,2,Bourke Street Mall (South),30087
11/29/2016,2016,November,29,Tuesday,2,Bourke Street Mall (South),28184
11/30/2016,2016,November,30,Wednesday,2,Bourke Street Mall (South),29495
12/1/2016,2016,December,1,Thursday,2,Bourke Street Mall (South),32015
12/2/2016,2016,December,2,Friday,2,Bourke Street Mall (South),36325
12/3/2016,2016,December,3,Saturday,2,Bourke Street Mall (South),38870
12/4/2016,2016,December,4,Sunday,2,Bourke Street Mall (South),26226
12/5/2016,2016,December,5,Monday,2,Bourke Street Mall (South),29110
12/6/2016,2016,December,6,Tuesday,2,Bourke Street Mall (South),29988
12/7/2016,2016,December,7,Wednesday,2,Bourke Street Mall (South),34485
12/8/2016,2016,December,8,Thursday,2,Bourke Street Mall (South),31202
12/9/2016,2016,December,9,Friday,2,Bourke Street Mall (South),38855
12/10/2016,2016,December,10,Saturday,2,Bourke Street Mall (South),42589
12/11/2016,2016,December,11,Sunday,2,Bourke Street Mall (South),35235
12/12/2016,2016,December,12,Monday,2,Bourke Street Mall (South),33441
12/13/2016,2016,December,13,Tuesday,2,Bourke Street Mall (South),32426
12/14/2016,2016,December,14,Wednesday,2,Bourke Street Mall (South),34860
12/15/2016,2016,December,15,Thursday,2,Bourke Street Mall (South),38782
12/16/2016,2016,December,16,Friday,2,Bourke Street Mall (South),42222
12/17/2016,2016,December,17,Saturday,2,Bourke Street Mall (South),42162
12/18/2016,2016,December,18,Sunday,2,Bourke Street Mall (South),37058
12/19/2016,2016,December,19,Monday,2,Bourke Street Mall (South),39119
12/20/2016,2016,December,20,Tuesday,2,Bourke Street Mall (South),40818
12/21/2016,2016,December,21,Wednesday,2,Bourke Street Mall (South),48061
12/22/2016,2016,December,22,Thursday,2,Bourke Street Mall (South),51568
12/23/2016,2016,December,23,Friday,2,Bourke Street Mall (South),50769
12/24/2016,2016,December,24,Saturday,2,Bourke Street Mall (South),33695
12/25/2016,2016,December,25,Sunday,2,Bourke Street Mall (South),9563
12/26/2016,2016,December,26,Monday,2,Bourke Street Mall (South),56144
12/27/2016,2016,December,27,Tuesday,2,Bourke Street Mall (South),34664
12/28/2016,2016,December,28,Wednesday,2,Bourke Street Mall (South),32398
12/29/2016,2016,December,29,Thursday,2,Bourke Street Mall (South),27984
12/30/2016,2016,December,30,Friday,2,Bourke Street Mall (South),34214
12/31/2016,2016,December,31,Saturday,2,Bourke Street Mall (South),29285
1/1/2017,2017,January,1,Sunday,2,Bourke Street Mall (South),20154
1/2/2017,2017,January,2,Monday,2,Bourke Street Mall (South),23581
1/3/2017,2017,January,3,Tuesday,2,Bourke Street Mall (South),27270
1/4/2017,2017,January,4,Wednesday,2,Bourke Street Mall (South),27297
1/5/2017,2017,January,5,Thursday,2,Bourke Street Mall (South),26826
1/6/2017,2017,January,6,Friday,2,Bourke Street Mall (South),27535
1/7/2017,2017,January,7,Saturday,2,Bourke Street Mall (South),20058
1/8/2017,2017,January,8,Sunday,2,Bourke Street Mall (South),18476
1/9/2017,2017,January,9,Monday,2,Bourke Street Mall (South),25592
1/10/2017,2017,January,10,Tuesday,2,Bourke Street Mall (South),25933
1/11/2017,2017,January,11,Wednesday,2,Bourke Street Mall (South),27511
1/12/2017,2017,January,12,Thursday,2,Bourke Street Mall (South),28385
1/13/2017,2017,January,13,Friday,2,Bourke Street Mall (South),26978
1/14/2017,2017,January,14,Saturday,2,Bourke Street Mall (South),25766
1/15/2017,2017,January,15,Sunday,2,Bourke Street Mall (South),21641
1/16/2017,2017,January,16,Monday,2,Bourke Street Mall (South),23884
1/17/2017,2017,January,17,Tuesday,2,Bourke Street Mall (South),22032
1/18/2017,2017,January,18,Wednesday,2,Bourke Street Mall (South),26512
1/19/2017,2017,January,19,Thursday,2,Bourke Street Mall (South),28698
1/20/2017,2017,January,20,Friday,2,Bourke Street Mall (South),10868
