Date,Year,Month,Day,Day_of_Week,Sensor_ID,Sensor_Name,Daily_Counts
1/1/2016,2016,January,1,Friday,2,Bourke Street Mall (South),21203
1/2/2016,2016,January,2,Saturday,2,Bourke Street Mall (South),27869
1/3/2016,2016,January,3,Sunday,2,Bourke Street Mall (South),23674
1/4/2016,2016,January,4,Monday,2,Bourke Street Mall (South),28563
1/5/2016,2016,January,5,Tuesday,2,Bourke Street Mall (South),28683
1/6/2016,2016,January,6,Wednesday,2,Bourke Street Mall (South),29184
1/7/2016,2016,January,7,Thursday,2,Bourke Street Mall (South),29856
1/8/2016,2016,January,8,Friday,2,Bourke Street Mall (South),31341
1/9/2016,2016,January,9,Saturday,2,Bourke Street Mall (South),25897
1/10/2016,2016,January,10,Sunday,2,Bourke Street Mall (South),19019
1/11/2016,2016,January,11,Monday,2,Bourke Street Mall (South),23253
1/12/2016,2016,January,12,Tuesday,2,Bourke Street Mall (South),25615
1/13/2016,2016,January,13,Wednesday,2,Bourke Street Mall (South),19800
1/14/2016,2016,January,14,Thursday,2,Bourke Street Mall (South),26619
1/15/2016,2016,January,15,Friday,2,Bourke Street Mall (South),30241
1/16/2016,2016,January,16,Saturday,2,Bourke Street Mall (South),25498
1/17/2016,2016,January,17,Sunday,2,Bourke Street Mall (South),20102
1/18/2016,2016,January,18,Monday,2,Bourke Street Mall (South),23169
1/19/2016,2016,January,19,Tuesday,2,Bourke Street Mall (South),24808
1/20/2016,2016,January,20,Wednesday,2,Bourke Street Mall (South),26703
1/21/2016,2016,January,21,Thursday,2,Bourke Street Mall (South),29161
1/22/2016,2016,January,22,Friday,2,Bourke Street Mall (South),29277
1/23/2016,2016,January,23,Saturday,2,Bourke Street Mall (South),26397
1/24/2016,2016,January,24,Sunday,2,Bourke Street Mall (South),23008
1/25/2016,2016,January,25,Monday,2,Bourke Street Mall (South),28906
1/26/2016,2016,January,26,Tuesday,2,Bourke Street Mall (South),22325
1/27/2016,2016,January,27,Wednesday,2,Bourke Street Mall (South),24704
1/28/2016,2016,January,28,Thursday,2,Bourke Street Mall (South),25290
1/29/2016,2016,January,29,Friday,2,Bourke Street Mall (South),27475
1/30/2016,2016,January,30,Saturday,2,Bourke Street Mall (South),25767
1/31/2016,2016,January,31,Sunday,2,Bourke Street Mall (South),20772
2/1/2016,2016,February,1,Monday,2,Bourke Street Mall (South),23022
2/2/2016,2016,February,2,Tuesday,2,Bourke Street Mall (South),21136
2/3/2016,2016,February,3,Wednesday,2,Bourke Street Mall (South),21172
2/4/2016,2016,February,4,Thursday,2,Bourke Street Mall (South),24259
2/5/2016,2016,February,5,Friday,2,Bourke Street Mall (South),27550
2/6/2016,2016,February,6,Saturday,2,Bourke Street Mall (South),23554
2/7/2016,2016,February,7,Sunday,2,Bourke Street Mall (South),19137
2/8/2016,2016,February,8,Monday,2,Bourke Street Mall (South),23632
2/9/2016,2016,February,9,Tuesday,2,Bourke Street Mall (South),22925
2/10/2016,2016,February,10,Wednesday,2,Bourke Street Mall (South),24141
2/11/2016,2016,February,11,Thursday,2,Bourke Street Mall (South),25950
2/12/2016,2016,February,12,Friday,2,Bourke Street Mall (South),30166
2/13/2016,2016,February,13,Saturday,2,Bourke Street Mall (South),27372
2/14/2016,2016,February,14,Sunday,2,Bourke Street Mall (South),24333
2/15/2016,2016,February,15,Monday,2,Bourke Street Mall (South),24189
2/16/2016,2016,February,16,Tuesday,2,Bourke Street Mall (South),22310
2/17/2016,2016,February,17,Wednesday,2,Bourke Street Mall (South),23871
2/18/2016,2016,February,18,Thursday,2,Bourke Street Mall (South),25416
2/19/2016,2016,February,19,Friday,2,Bourke Street Mall (South),28063
2/20/2016,2016,February,20,Saturday,2,Bourke Street Mall (South),34364
2/21/2016,2016,February,21,Sunday,2,Bourke Street Mall (South),22133
2/22/2016,2016,February,22,Monday,2,Bourke Street Mall (South),22865
2/23/2016,2016,February,23,Tuesday,2,Bourke Street Mall (South),20142
2/24/2016,2016,February,24,Wednesday,2,Bourke Street Mall (South),23282
2/25/2016,2016,February,25,Thursday,2,Bourke Street Mall (South),25483
2/26/2016,2016,February,26,Friday,2,Bourke Street Mall (South),30133
2/27/2016,2016,February,27,Saturday,2,Bourke Street Mall (South),26942
2/28/2016,2016,February,28,Sunday,2,Bourke Street Mall (South),22753
2/29/2016,2016,February,29,Monday,2,Bourke Street Mall (South),21984
3/1/2016,2016,March,1,Tuesday,2,Bourke Street Mall (South),21147
3/2/2016,2016,March,2,Wednesday,2,Bourke Street Mall (South),21667
3/3/2016,2016,March,3,Thursday,2,Bourke Street Mall (South),24495
3/4/2016,2016,March,4,Friday,2,Bourke Street Mall (South),26711
3/5/2016,2016,March,5,Saturday,2,Bourke Street Mall (South),25516
3/6/2016,2016,March,6,Sunday,2,Bourke Street Mall (South),20496
3/7/2016,2016,March,7,Monday,2,Bourke Street Mall (South),22474
3/8/2016,2016,March,8,Tuesday,2,Bourke Street Mall (South),19194
3/9/2016,2016,March,9,Wednesday,2,Bourke Street Mall (South),22390
3/10/2016,2016,March,10,Thursday,2,Bourke Street Mall (South),23006
3/11/2016,2016,March,11,Friday,2,Bourke Street Mall (South),30456
3/12/2016,2016,March,12,Saturday,2,Bourke Street Mall (South),27742
3/13/2016,2016,March,13,Sunday,2,Bourke Street Mall (South),25131
3/14/2016,2016,March,14,Monday,2,Bourke Street Mall (South),21391
3/15/2016,2016,March,15,Tuesday,2,Bourke Street Mall (South),22399
3/16/2016,2016,March,16,Wednesday,2,Bourke Street Mall (South),23154
3/17/2016,2016,March,17,Thursday,2,Bourke Street Mall (South),24154
3/18/2016,2016,March,18,Friday,2,Bourke Street Mall (South),27744
3/19/2016,2016,March,19,Saturday,2,Bourke Street Mall (South),26064
3/20/2016,2016,March,20,Sunday,2,Bourke Street Mall (South),21624
3/21/2016,2016,March,21,Monday,2,Bourke Street Mall (South),24704
3/22/2016,2016,March,22,Tuesday,2,Bourke Street Mall (South),23706
3/23/2016,2016,March,23,Wednesday,2,Bourke Street Mall (South),25086
3/24/2016,2016,March,24,Thursday,2,Bourke Street Mall (South),28886
3/25/2016,2016,March,25,Friday,2,Bourke Street Mall (South),14580
3/26/2016,2016,March,26,Saturday,2,Bourke Street Mall (South),32428
3/27/2016,2016,March,27,Sunday,2,Bourke Street Mall (South),24468
3/28/2016,2016,March,28,Monday,2,Bourke Street Mall (South),22686
3/29/2016,2016,March,29,Tuesday,2,Bourke Street Mall (South),25949
3/30/2016,2016,March,30,Wednesday,2,Bourke Street Mall (South),27430
3/31/2016,2016,March,31,Thursday,2,Bourke Street Mall (South),29995
4/1/2016,2016,April,1,Friday,2,Bourke Street Mall (South),32119
4/2/2016,2016,April,2,Saturday,2,Bourke Street Mall (South),28356
4/3/2016,2016,April,3,Sunday,2,Bourke Street Mall (South),22623
4/4/2016,2016,April,4,Monday,2,Bourke Street Mall (South),26246
4/5/2016,2016,April,5,Tuesday,2,Bourke Street Mall (South),25116
4/6/2016,2016,April,6,Wednesday,2,Bourke Street Mall (South),24131
4/7/2016,2016,April,7,Thursday,2,Bourke Street Mall (South),30437
4/8/2016,2016,April,8,Friday,2,Bourke Street Mall (South),32769
4/9/2016,2016,April,9,Saturday,2,Bourke Street Mall (South),28022
4/10/2016,2016,April,10,Sunday,2,Bourke Street Mall (South),20327
4/11/2016,2016,April,11,Monday,2,Bourke Street Mall (South),22298
4/12/2016,2016,April,12,Tuesday,2,Bourke Street Mall (South),22522
4/13/2016,2016,April,13,Wednesday,2,Bourke Street Mall (South),24248
4/14/2016,2016,April,14,Thursday,2,Bourke Street Mall (South),25963
4/15/2016,2016,April,15,Friday,2,Bourke Street Mall (South),31205
4/16/2016,2016,April,16,Saturday,2,Bourke Street Mall (South),28289
4/17/2016,2016,April,17,Sunday,2,Bourke Street Mall (South),22236
4/18/2016,2016,April,18,Monday,2,Bourke Street Mall (South),23106
4/19/2016,2016,April,19,Tuesday,2,Bourke Street Mall (South),21902
4/20/2016,2016,April,20,Wednesday,2,Bourke Street Mall (South),23578
4/21/2016,2016,April,21,Thursday,2,Bourke Street Mall (South),24554
4/22/2016,2016,April,22,Friday,2,Bourke Street Mall (South),30190
4/23/2016,2016,April,23,Saturday,2,Bourke Street Mall (South),28330
4/24/2016,2016,April,24,Sunday,2,Bourke Street Mall (South),26679
4/25/2016,2016,April,25,Monday,2,Bourke Street Mall (South),21395
4/26/2016,2016,April,26,Tuesday,2,Bourke Street Mall (South),21978
4/27/2016,2016,April,27,Wednesday,2,Bourke Street Mall (South),22257
4/28/2016,2016,April,28,Thursday,2,Bourke Street Mall (South),23604
4/29/2016,2016,April,29,Friday,2,Bourke Street Mall (South),26089
4/30/2016,2016,April,30,Saturday,2,Bourke Street Mall (South),25844
5/1/2016,2016,May,1,Sunday,2,Bourke Street Mall (South),18432
5/2/2016,2016,May,2,Monday,2,Bourke Street Mall (South),22255
5/3/2016,2016,May,3,Tuesday,2,Bourke Street Mall (South),19211
5/4/2016,2016,May,4,Wednesday,2,Bourke Street Mall (South),22588
5/5/2016,2016,May,5,Thursday,2,Bourke Street Mall (South),24791
5/6/2016,2016,May,6,Friday,2,Bourke Street Mall (South),30009
5/7/2016,2016,May,7,Saturday,2,Bourke Street Mall (South),28747
5/8/2016,2016,May,8,Sunday,2,Bourke Street Mall (South),18909
5/9/2016,2016,May,9,Monday,2,Bourke Street Mall (South),18079
5/10/2016,2016,May,10,Tuesday,2,Bourke Street Mall (South),20071
5/11/2016,2016,May,11,Wednesday,2,Bourke Street Mall (South),20548
5/12/2016,2016,May,12,Thursday,2,Bourke Street Mall (South),23195
5/13/2016,2016,May,13,Friday,2,Bourke Street Mall (South),28641
5/14/2016,2016,May,14,Saturday,2,Bourke Street Mall (South),27764
